Title,Date,Content,Category
Sekjen Kementerian ATR/BPN Serahkan 3.256 Sertipikat Tanah bagi Masyarakat Jawa Barat: Minimalisir Sengketa dan Persempit Ruang Gerak Mafia Tanah,18 Oktober 2024,"Bekasi– Menteri Agraria dan Tata Ruang/Kepala Badan Pertanahan Nasional (ATR/BPN), Agus Harimurti Yudhoyono (AHY) yang diwakili Sekretaris Jenderal (Sekjen) Kementerian ATR/BPN, Suyus Windayana menyerahkan 3.256 sertipikat tanah bagi masyarakat Jawa Barat di President University Convention Center, Kabupaten Bekasi pada Rabu (16/10/2024). Secara langsung ia menyerahkan sertipikat kepada perwakilan 12 orang penerima.Sertipikat yang diserahkan kali ini berasal dari program Pendaftaran Tanah Sistematis Lengkap (PTSL) dan Redistribusi Tanah yang dilaksanakan di berbagai kabupaten/kota di Jawa Barat. “Dengan diterimanya sertipikat tentunya akan meminimalisir sengketa dan mengurangi ruang gerak mafia tanah,” kata Sekjen dalam sambutannya.“Mafia tanah ini sangat meresahkan masyarakat, mudah-mudahan dengan terbitnya sertipikat yang terus kita keluarkan, ruang gerak mafia tanah sudah tidak ada lagi,” tambah Suyus Windayana.Sertipikat memberikan kepastian bagi para pemilik bahwa tanah-tanahnya sudah terdaftar dan memiliki kekuatan hukum. Sertipikat tanah merupakan komitmen pemerintah untuk mempercepat pendaftaran tanah di Indonesia. Adapun total bidang tanah di Indonesia yang harus didaftarkan ada sebanyak 126 juta bidang.“Sampai saat ini sudah 118 juta bidang, berarti sekitar 97% dan 94 juta bidang sudah diterbitkan sertipikat termasuk yang diterima hari ini. Saya ingin memastikan 2025 kita akan mendaftarkan 126 juta bidang tanah,” tutur Sekjen Kementerian ATR/BPN.Kepala Kantor Wilayah (Kanwil) BPN Provinsi Jawa Barat dalam kesempatan yang sama melaporkan bahwa sertipikat yang diserahkan terdiri dari 2.000 sertipikat hasil program PTSL di Kabupaten Bekasi; 250 sertipikat hasil PTSL di Kota Bekasi, Kabupaten Subang, Kabupaten Karawang, dan Kabupaten Purwakarta; serta 256 sertipikat hasil program Redistribusi Tanah di Kabupaten Sukabumi.“Dari jumlah ini yang sudah beralih media sebanyak 2.275 bidang, sedangkan sisanya masih merupakan sertipikat analog karena pembukuannya dilaksanakan di bulan Juni. Kami berkomitmen penuh untuk menuntaskan target sertipikasi 100% secara berkualitas,” pungkas Yuniar Hikmat Ginanjar.Hadir dalam penyerahan sertipikat ini, sejumlah Pejabat Pimpinan Tinggi Madya dan Pratama Kementerian ATR/BPN; perwakilan dari Pemerintah Provinsi Jawa Barat; jajaran Pejabat Administrator di lingkungan Kanwil BPN Provinsi Jawa Barat; perwakilan dari lima Pemerintah Kabupaten/Kota; serta jajaran Forkopimda setempat.",Nasional
"Berhasil Menciptakan Ekosistem Komunikasi, Kementerian ATR/BPN Terima Penghargaan Pelayanan dan Komunikasi Publik dari iNews TV",15 Oktober 2024,"Sekretaris Jenderal (Sekjen) Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional (ATR/BPN), Suyus Windayana mewakili Menteri ATR/Kepala BPN, Agus Harimurti Yudhoyono (AHY) menerima penghargaan kategori Pelayanan dan Komunikasi Publik dari iNews TV. Penghargaan diberikan dalam acara Kementerian & Lembaga Negara Awards 2024 yang diselenggarakan di MNC Conference Hall, Senin (14/10/2024).Penghargaan diberikan kepada kementerian dan lembaga yang dinilai berhasil menjalankan fungsinya secara optimal dalam hal pelayanan publik, transparansi, inovasi, maupun pengelolaan sumber daya yang efektif. Dalam kesempatan ini, apresiasi diberikan kepada Kementerian ATR/BPN atas keberhasilan membentuk Ekosistem Komunikasi dan Humas Internal (EKSISTENSI) di satuan kerja (Satker) yang tersebar di penjuru Indonesia.Strategi utama EKSISTENSI, yaitu “One Satker One Media, One Day One Post, dan One Day One Information” setiap harinya dijalankan oleh 512 Satker yang menjadi kekuatan bagi Kementerian ATR/BPN untuk memenuhi kebutuhan masyarakat dengan informasi penting seputar pertanahan dan tata ruang.Selain Kementerian ATR/BPN, hadir pula perwakilan dari Kepolisian Republik Indonesia (POLRI), Dewan Perwakilan Rakyat Republik Indonesia (DPR RI), dan Kementerian Pendidikan dan Kebudayaan menerima penghargaan kategori yang sama. Penghargaan diberikan langsung oleh Programming Director iNews Media Group, M. Choiril Alam.Turut hadir dalam kesempatan ini sejumlah Menteri dan Kepala Lembaga Kabinet Indonesia Maju menerima penghargaan dalam berbagai kategori. Turut mendampingi Sekjen Kementerian ATR/BPN, Kepala Biro Hubungan Masyarakat, Harison Mocodompis beserta jajaran.",Nasional
"Lantik 67 Pejabat Struktural dan Fungsional, Menteri AHY Harapkan Jajaran Kementerian ATR/BPN Bangun Semangat Integritas",15 Oktober 2024,"Jakarta– Menteri Agraria dan Tata Ruang/Kepala Badan Pertanahan Nasional (ATR/BPN), Agus Harimurti Yudhoyono (AHY) melantik 67 pejabat di lingkungan Kementerian ATR/BPN yang terdiri dari Pejabat Pimpinan Tinggi Madya dan Pratama serta Pejabat Administrator dan Fungsional. Pelantikan sekaligus Pengambilan Sumpah/Janji Jabatan Pejabat Struktural dan Fungsional ini berlangsung di Aula Prona, Kantor Kementerian ATR/BPN, Jakarta, Senin (14/10/2024).Dalam kesempatan ini, Menteri AHY mengucapkan selamat atas amanah baru yang diemban para pejabat. Khususnya, kepada Dalu Agung Darmawan sebagai Inspektur Jenderal (Irjen) dan Yulia Jaya Nirmawati sebagai Direktur Jenderal (Dirjen) Penataan Agraria.“Irjen di Kementerian ATR/BPN, sebuah posisi yang mengharuskan untuk terus memonitor sekaligus membangun semangat integritas yang baik. Salah satu tantangan terbesar bagi Kementerian ATR/BPN adalah bagaimana bukan hanya membangun narasi, ekosistem Zona Integritas, tetapi transparansi, akuntabilitas, itu menjadi fondasi utama dan itulah yang menjadi harapan masyarakat kita,” ujar Menteri AHY.Menurut Menteri ATR/Kepala BPN, Zona Integritas sebagai bagian dari Reformasi Birokrasi bukan hanya menjadi slogan, tetapi harus benar dijalankan, sehingga masyarakat bisa merasakan dampaknya. “Produk-produk yang kita hasilkan termasuk sertipikasi tanah, tata ruang, dan lain sebagainya itu harus benar-benar menghadirkan dampak positif bagi ekonomi masyarakat juga kehidupan sosial masyarakat,” tegasnya.Kepada Dirjen Penataan Agraria, ia berharap dapat menghadirkan solusi atas kendala dalam menjalankan dua aspek Reforma Agraria, yakni Penataan Aset dan Penataan Akses. “Laksanakan tugas dengan sebaik-baiknya, mudah-mudahan masyarakat kita semakin mendapatkan manfaat dan negara kita semakin mendapat benefit juga dari Reforma Agraria yang utamanya adalah Penataan Aset dan Akses yang juga semakin kredibel,” ungkap Menteri AHY.Selain itu, kepada Kepala Kantor Wilayah BPN Provinsi yang baru saja dilantik, Menteri AHY menyampaikan agar menuntaskan pengelolaan administrasi pertanahan di wilayah provinsi, kabupaten, dan kota. “Kita jalankan kebijakan yang selama ini sudah ditetapkan, termasuk meningkatkan nilai ekonomi dari hasil pendaftaran tanah sekaligus juga upaya memberikan investasi,” tambahnya.Sebagai pimpinan Kementerian ATR/BPN, ia juga memotivasi jajarannya untuk selalu mengembangkan potensi diri dalam rangka menghadapi tugas dan fungsi pada posisi selanjutnya. “Selebihnya kepada para Pejabat Struktural maupun Fungsional, selamat bertugas sekali lagi, tunjukkan kinerja yang baik sambil terus mengasah diri untuk posisi dan peran-peran selanjutnya, saya doakan semua yang ada di ruangan ini bisa sukses karirnya,” tutur Menteri AHY.Turut hadir dalam pelantikan ini, Pembina IKAWATI ATR/BPN, Annisa Pohan Yudhoyono; Wakil Menteri ATR/Wakil Kepala BPN, Raja Juli Antoni beserta Wakil Pembina IKAWATI ATR/BPN, Nurlaeli Raja Juli Antoni; sejumlah Pejabat Pimpinan Tinggi Madya dan Pratama; serta jajaran Pengurus IKAWATI ATR/BPN.",Nasional
"Berdiri di Atas Tanah Seluas 56,8 Hektare, Istana Negara dan Istana Garuda di IKN Telah Bersertipikat",12 Oktober 2024,"Nusantara– Istana Negara dan Istana Garuda yang menjadi kebanggaan bangsa Indonesia kini resmi bersertipikat. Sertipikat Tanah Elektronik berupa Hak Pakai telah diserahkan oleh Menteri Agraria dan Tata Ruang/Kepala Badan Pertanahan Nasional (ATR/BPN), Agus Harimurti Yudhoyono (AHY) kepada Menteri Sekretaris Negara, Pratikno dan disaksikan oleh Presiden Republik Indonesia, Joko Widodo (Jokowi), Jumat (11/10/2024).“Bidang tanah yang diserahkan itu seluas 56,8 hektare, sebetulnya ini satu bidang meliputi Istana Negara tempat kita berada saat ini, dan juga Istana Garuda yang ada di belakang,” ujar Menteri AHY usai penyerahan yang berlangsung di Halaman Istana Negara, Ibu Kota Nusantara (IKN), Provinsi Kalimantan Timur.Adapun sertipikat yang diserahkan tersebut merupakan Sertipikat Hak Pakai Nomor 11 ini diterbitkan oleh Kantor Pertanahan Penajam Paser Utara yang tercatat atas nama Pemerintah Republik Indonesia, c.q. Kementerian Sekretariat Negara.Diterbitkan di atas tanah berstatus Hak Pengelolaan (HPL) milik Otorita Ibu Kota Nusantara (OIKN), Sertipikat Hak Pakai menjadi alas hukum untuk tanah tempat berdirinya Istana Negara dan Istana Garuda yang menjadi kebanggaan masyarakat Indonesia.Penyerahan sertipikat bersamaan dengan peresmian Istana Negara oleh Presiden Jokowi. Sementara itu, Istana Garuda masih dalam tahap penyempurnaan dan akan diresmikan pada waktu yang berbeda.“Untuk Istana Garuda, sesuai penjelasan Presiden Jokowi bahwa masih perlu waktu untuk penyelesaiannya, perapihan, dan penyempurnaan. Insyaallah kemudian pada saatnya oleh Bapak Prabowo Subianto setelah beliau dilantik sebagai Presiden periode 2024-2049,” tambah Menteri AHY.Dalam kesempatan ini, Presiden Jokowi secara simbolis meresmikan Istana Negara yang kerap digunakan untuk berbagai kegiatan kenegaraan. Peresmian ini dihadiri sejumlah Menteri dan Kepala Lembaga Kabinet Indonesia Maju.Turut mendampingi Menteri AHY, Wakil Menteri ATR/Wakil Kepala BPN sekaligus Wakil Kepala Otorita IKN, Raja Juli Antoni; Staf Khusus Bidang Manajemen Internal, Agust Jovan Latuconsina; Kepala Biro Hubungan Masyarakat Kementerian ATR/BPN, Harison Mocodompis; Kepala Kantor Wilayah BPN Provinsi Kalimantan Timur, Deni Ahmad Hidayat beserta jajaran; serta Kepala Kantor Pertanahan Kabupaten Penajam Paser Utara, Zulkhoir dan Kepala Kantor Pertanahan Kota Balikpapan, Ade Chandra Wijaya.",Nasional
"Disaksikan Presiden Jokowi, Menteri AHY Serahkan Sertipikat Tanah Elektronik Hak Pakai untuk Istana Negara dan Istana Garuda di IKN",11 Oktober 2024,"Nusantara– Menteri Agraria dan Tata Ruang/Kepala Badan Pertanahan Nasional (ATR/BPN), Agus Harimurti Yudhoyono (AHY) mendampingi Presiden Joko Widodo dalam Peresmian Istana Negara di Ibu Kota Nusantara (IKN), Provinsi Kalimantan Timur, Jumat (11/10/2024). Dalam kesempatan ini, Menteri AHY menyerahkan Sertipikat Tanah Elektronik berupa Hak Pakai untuk Istana Negara dan Istana Garuda kepada Menteri Sekretaris Negara, Pratikno di hadapan Presiden Joko Widodo.“Dengan penyerahan Sertipikat Hak Pakai, maka secara hukum, formal, semua sudah bisa dijelaskan dan mudah-mudahan ini bisa menjadi awal yang baik untuk pembangunan dan pengembangan berikutnya untuk Kawasan Inti Pusat Pemerintahan (KIPP) yang ada di IKN ini,” ujar Menteri AHY kepada awak media usai kegiatan peresmian.Sertipikat Hak Pakai dengan pemegang hak Pemerintah Republik Indonesia Cq. Kementerian Sekretariat Negara ini memiliki luas 56,87 hektare atau 568.705 meter persegi. Sertipikat Tanah Elektronik yang diterbitkan oleh Kantor Pertanahan Kabupaten Penajam Paser Utara ini merupakan yang pertama di Kawasan KIPP.Peresmian Istana Negara ditandai dengan penekanan tombol sirine yang dipimpin oleh Presiden Joko Widodo bersama Ibu Negara Iriana Joko Widodo bersama sejumlah Menteri dan Kepala Lembaga Kabinet Indonesia Maju yang hadir. Di hari bersejarah ini, Menteri AHY berharap Istana Negara akan menghadirkan kemajuan dan kesejahteraan bagi rakyat Indonesia.“Hari ini kita berbahagia dan bersejarah, bisa hadir secara langsung dalam acara peresmian Istana Negara di IKN yang tentunya kita harapkan bisa benar-benar menjadi sebuah simbol menuju Indonesia yang semakin maju di abad 21 ini. Kita berharap juga akan terus lahir pemikiran-pemikiran besar sekaligus berbagai langkah strategis untuk membuat Indonesia semakin maju negaranya dan semakin sejahtera rakyatnya,” tutur Menteri ATR/Kepala BPN.Turut mendampingi Menteri AHY, Wakil Menteri ATR/Wakil Kepala BPN sekaligus Wakil Kepala Otorita IKN, Raja Juli Antoni; Staf Khusus Bidang Manajemen Internal, Agust Jovan Latuconsina; Kepala Biro Hubungan Masyarakat Kementerian ATR/BPN, Harison Mocodompis; Kepala Kantor Wilayah BPN Provinsi Kalimantan Timur, Deni Ahmad Hidayat beserta jajaran; serta Kepala Kantor Pertanahan Kabupaten Penajam Paser Utara, Zulkhoir dan Kepala Kantor Pertanahan Kota Balikpapan, Ade Chandra Wijaya.",Nasional
"Tiba di Kota Balikpapan, Menteri AHY Menuju IKN untuk Peresmian dan Penyerahan Sertipikat Istana Negara dan Istana Garuda",11 Oktober 2024,"Balikpapan– Menteri Agraria dan Tata Ruang/Kepala Badan Pertanahan Nasional (ATR/BPN), Agus Harimurti Yudhoyono (AHY) tiba di Bandara Internasional Sepinggan, Kota Balikpapan, Provinsi Kalimantan Timur pada Jumat (11/10/2024). Kunjungan kerjanya kali ini dalam rangka menghadiri peresmian serta menyerahkan Sertipikat Tanah Elektronik Istana Garuda dan Istana Negara di Ibu Kota Nusantara (IKN).“Saya akan menuju ke IKN untuk peresmian Istana Negara juga Istana Garuda di Kawasan Inti Pusat Pemerintahan bersama Presiden Joko Widodo. Dan tentunya dengan kapasitas sebagai Menteri ATR/Kepala BPN, akan menyerahkan sertipikat berupa Hak Pakai kepada Kementerian Sekretariat Negara,” ujar Menteri AHY kepada sejumlah awak media.Menurutnya, penyerahan Sertipikat Hak Pakai seluas 568.705 meter persegi ini merupakan komitmen Kementerian ATR/BPN dalam mendukung pembangunan IKN. Menteri AHY memastikan, pengadaan tanah dan pembangunan di IKN tetap memprioritaskan masyarakat setempat.“Ini juga penting agar sejak awal administrasinya jelas, dan mudah-mudahan ini juga menjadi simbol yang baik sekaligus menjadi penyemangat untuk selanjutnya kita bisa menuntaskan berbagai tantangan pembangunan IKN. Mudah-mudahan prosesnya bisa lebih cepat lagi, sehingga tidak meninggalkan masalah di kemudian hari,“ tutur Menteri AHY.Dalam kesempatan ini, Menteri AHY didampingi oleh Staf Khusus Bidang Manajemen Internal, Agust Jovan Latuconsina dan Kepala Biro Hubungan Masyarakat Kementerian ATR/BPN, Harison Mocodompis. Kehadiran Menteri AHY disambut hangat oleh Kepala Kantor Wilayah BPN Provinsi Kalimantan Timur, Deni Ahmad Hidayat beserta jajaran.",Nasional
"Saling Bersinergi, Pemkab Pacitan Akui Sertipikasi Aset hingga Deklarasi Kabupaten Lengkap Jadi Terwujud Lebih Cepat",11 Oktober 2024,"Surabaya– Kabupaten Pacitan menjadi salah satu wilayah yang dideklarasikan sebagai Kabupaten Lengkap oleh Menteri Agraria dan Tata Ruang/Kepala Badan Pertanahan Nasional (ATR/BPN), Agus Harimurti Yudhoyono (AHY) pada Selasa (08/10/2024). Meskipun tidak diprioritaskan menjadi target 104 Kabupaten/Kota Lengkap di akhir tahun 2024, namun hari ini bisa lebih dulu dideklarasikan Lengkap berkat sinergi yang baik antara Kementerian ATR/BPN dengan Pemerintah Kabupaten (Pemkab) Pacitan.“Mari kita terus kejar target pencapaian sampai dengan akhir tahun ini, mudah-mudahan tercapai 104 Kota/Kabupaten Lengkap bahkan bisa _over_ prestasi. Contoh di Jawa Timur ada beberapa tambahan termasuk Pacitan yang sebelumnya tidak masuk list yang diprioritaskan. Ini contoh, dengan kerja keras dan kerja bersama, bisa dilakukan itu semua,” kata Menteri AHY dalam sambutannya di Gedung Negara Grahadi Jawa Timur, Kota Surabaya.Ditemui terpisah, Daryono, Kepala Badan Keuangan Daerah Kabupaten Pacitan mengaku koordinasi yang dibangun antara pihaknya dengan Kantor Pertanahan Kabupaten Pacitan berjalan baik. “Bekerja sama dengan baik, kita saling bersinergi dan tentunya melibatkan seluruh aparat pemerintah mulai dari desa, kecamatan, dan kabupaten yang sudah berjalan lancar, sehingga alhamdulillah Kabupaten Pacitan secara umum sudah Lengkap,” ucap Daryono.Dalam kesempatan ini, Kepala Badan Keuangan Daerah Kabupaten Pacitan hadir mendampingi Sekretaris Daerah Kabupaten Pacitan untuk menerima Sertipikat Tanah Elektronik yang diperuntukkan bagi aset Barang Milik Daerah Kabupaten Pacitan. Terkait proses sertipikasi aset pemerintah ini pun ia sebut lebih cepat karena adanya koordinasi baik antar kedua pihak.“Kita pemerintah daerah saling bersinergi untuk melakukan pekerjaan perhitungan di lapangan, pengukuran, dan sebagainya. Itu dilakukan bersama-sama koordinasi antara pemerintah daerah dan BPN,” terang Kepala Badan Keuangan Daerah Kabupaten Pacitan.Atas kerja sama yang baik sekaligus program yang baik ini, ia berterima kasih kepada pemerintah pusat, terutama Presiden Joko Widodo yang telah mendorong terselenggaranya sertipikasi aset pemerintah. “Terima kasih Kementerian ATR/BPN yang telah mempunyai program untuk mempercepat, otomatis juga saya berterima kasih juga kepada negara yang dipimpin oleh Pak Jokowi karena sertipikat tanah ini penting untuk Pemkab Pacitan, juga khususnya untuk masyarakat,” pungkas Daryono.",Nasional
"Selenggarakan Pelayanan Publik yang Prima, Kementerian ATR/BPN Raih Dua Penghargaan dari Kementerian PAN-RB",10 Oktober 2024,"Jakarta– Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional (ATR/BPN) terus berupaya meningkatkan kualitas pelayanan publik. Upaya itu bahkan tak jarang menghasilkan sebuah penghargaan. Dalam hal ini, Kementerian ATR/BPN melalui Kantor Pertanahan (Kantah) Kota Bandar Lampung dan Kota Batam meraih penghargaan dari Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (PAN-RB) dalam acara Gebyar Pelayanan Prima yang berlangsung di Sheraton Grand Jakarta Gandaria City Hotel, Selasa (08/10/2024).Sekretaris Jenderal (Sekjen) Kementerian ATR/BPN, Suyus Windayana hadir menerima penghargaan yang disampaikan langsung oleh Menteri PAN-RB, Abdullah Azwar Anas. Suyus Windayana mengatakan bahwa penghargaan tersebut dapat menjadi acuan bagi Kantah di seluruh Indonesia untuk terus melakukan pelayanan terbaik bagi masyarakat.“Tiap tahun alhamdulillah kita mendapatkan penghargaan, mungkin ke depan bisa menjadi replikasi, kita akan replikasikan untuk Kantah yang lain, sehingga ini menjadi bola salju, makin lama makin besar, sehingga seluruh Kantah di Kementerian ATR/BPN itu mempunyai standar, baik itu mengenai pemantauan evaluasi kerja maupun memberikan pelayanan terbaik untuk kelompok rentan,” ujar Suyus Windayana usai menerima penghargaan.Adapun penghargaan yang diterima pertama, yakni Pemantauan Kinerja dan Evaluasi Penyelenggara Pelayanan Publik (PEKPPP) Tahun 2024 dengan Predikat Pelayanan Prima untuk Kantah Kota Bandar Lampung. Penghargaan ini diberikan kepada instansi pemerintah yang telah menunjukkan kinerja penyelenggaraan publik yang unggul berdasarkan instrumen PEKPPP, yaitu kebijakan pelayanan, profesionalisme sumber daya manusia, sarana dan prasarana, konsultasi dan pengaduan, sistem informasi pelayanan publik, dan inovasi layanan publik.Penghargaan kedua ialah kategori Penyelenggara Pelayanan Publik Ramah Kelompok Rentan Terbaik Tahun 2024 untuk Kantah Kota Batam. Kementerian PAN-RB menilai, Kantah Kota Batam telah menyediakan fasilitas-fasilitas yang membantu kelompok rentan, antara lain terdapat buku panduan dengan huruf braille untuk penyandang tunanetra dan _guiding block_ menuju Loket Prioritas.Sekjen Kementerian ATR/BPN berharap, Loket Prioritas terus dilaksanakan di seluruh Kantah di kabupaten/kota. “Itu menjadi proses kita untuk memberikan layanan prima bagi masyarakat. Saya pikir ini salah satu momen kita untuk kembali mengingatkan Kantah baik kabupaten/kota dan juga Kantor Wilayah (Kanwil) di tingkat provinsi dan juga Eselon I. Jadi bukan hanya Kantah, layanan Eselon I di pusat kemudian di Kanwil juga harus lebih baik,” tegasnya.Turut mendampingi Sekjen Kementerian ATR/BPN dalam kegiatan ini, Kepala Biro Organisasi dan Kepegawaian, Elijas B. Thahajadi; Direktur Penertiban Penguasaan, Pemilikan dan Penggunaan Tanah, Sepyo Achanto; serta Kepala Kantah Kota Bandar Lampung, Albert Muntarie dan Kepala Kantah Kota Batam, Deni Prasetyo. Turut hadir, sejumlah Menteri dan Kepala Lembaga Kabinet Indonesia Maju selaku penerima penghargaan.",Nasional
"Kebaruan Disertasi Menteri AHY, Tekankan Pentingnya Pendidikan Berkualitas yang Merata dan Peningkatan Kapasitas Inovasi serta Produktivitas Ekonomi",9 Oktober 2024,"Surabaya– Dalam disertasi berjudul “Transformational Leadership and Human Resources Orchestration towards Indonesia Emas 2045”, Menteri Agraria dan Tata Ruang/Kepala Badan Pertanahan Nasional (ATR/BPN), Agus Harimurti Yudhoyono (AHY) merumuskan sembilan pertanyaan penelitian yang dijabarkan ke dalam empat _paper_. Dengan mencermati kompleksitas studi di masing-masing _paper_, Menteri AHY berusaha menghadirkan kebaruan sebagai kontribusi teoritis dan juga praktis.“_Novelty_ ini diharapkan akan memperkuat pelaksanaan UU 59/2024 tentang RPJPN 2025-2045, khususnya terkait misi 1 dan 2 dari 17 arah pembangunan yang berfokus pada transformasi sosial dan ekonomi. Menekankan pentingnya pendidikan berkualitas yang merata dan peningkatan kapasitas inovasi serta produktivitas ekonomi ke depan,” ungkap Menteri AHY dalam Ujian Doktor Terbuka yang berlangsung di Aula Garuda Mukti, Gedung Kantor Manajemen MERR C Mulyorejo, Universitas Airlangga, Senin (07/10/2024).Dari _paper_ 1, kebaruan yang ia hasilkan berupa analisis literatur yang lebih komprehensif mengenai faktor-faktor mengenai transformasi ekonomi beserta konsekuensinya yang selama ini jarang ditemukan pada literatur di Indonesia. Sementara itu, kebaruan _paper_ 2 berupa kemampuan mengaplikasikan _resource orchestration theory_ dalam konteks orkestrasi SDM di tingkat negara, di mana biasanya digunakan pada tingkat korporasi.Selanjutnya, kebaruan yang dihasilkan dari _paper_ 3, yaitu berupa analisis yang mampu menjelaskan tentang kesesuaian maupun ketidaksesuaian antara sektor utama penopang perekonomian Indonesia dengan jumlah penelitian, serta kualitas penelitian yang dilakukan para akademisi tanah air. Terakhir, kebaruan yang dihasilkan dari _paper_ 4 berupa kemampuan menggunakan _mix method_ dalam menentukan sektor prioritas strategis dalam melakukan akselerasi transformasi ekonomi.Adapun keempat _paper_ yang ia tulis untuk menjawab sembilan pertanyaan dalam disertasinya tersebut antara lain berjudul Economic Transformation: a Systemic Literature Review, Bridging the Gap: Orchestrating Indonesian Higher Education, Bridging the Gap: Fostering National Development Through Indonesia’s Research Trajectory, dan Devising Strategic Plan for Indonesia’s Economic Transformation Through Resource Orchestration Lens: a Delphi-Analytic Hierarchy Process Combined Approach.“_Paper_ 1 menjawab tentang faktor-faktor yang mempengaruhi terwujudnya transformasi ekonomi. _Paper_ 2 ini membahas kesesuaian pendidikan tinggi dengan kebutuhan SDM di Indonesia. _Paper_ 3 membahas _output_ penelitian di Indonesia, keselarasan tema dengan prioritas penelitian nasional, serta keselarasan tema penelitian dengan sektor penggerak ekonomi dan komoditas ekspornya. Dan _Paper_ 4 membahas bentuk transformasi ekonomi yang dibutuhkan sektor industri yang harus diperkuat untuk mewujudkan transformasi ekonomi, serta SDM yang bisa diorkestrasikan secara efektif sebagai kekuatan penggerak,” terang Menteri AHY.Sebagai informasi, Menteri AHY dinyatakan lulus dalam masa studi 3,1 tahun dengan predikat _Cumlaude_ alias Dengan Pujian. Ia sekaligus menjadi Doktor ke-88 dari Program Studi Pengembangan Sumber Daya Manusia. Ia juga dinyatakan sebagai Doktor lulusan Universitas Airlangga yang _excellence with morality_ oleh Rektor Universitas Airlangga, Prof. Dr. Moh. Nasih, SE, MT, Ak.",Nasional
"Selesaikan Ujian Terbuka Program Doktoral, Menteri AHY Hasilkan Tujuh Rekomendasi Kebijakan untuk Wujudkan Indonesia Emas",9 Oktober 2024,"Surabaya– Menteri Agraria dan Tata Ruang/Kepala Badan Pertanahan Nasional (ATR/BPN), Agus Harimurti Yudhoyono (AHY) menampilkan disertasi berjudul “Transformational Leadership and Human Resources Orchestration towards Indonesia Emas 2045” dalam Ujian Doktor Terbuka yang berlangsung di Universitas Airlangga, Senin (07/10/2024). Dari disertasi yang ia kembangkan, disebutkan ada sedikitnya tujuh rekomendasi kebijakan yang perlu dihasilkan untuk mewujudkan Indonesia Emas 2045.Tujuh rekomendasi kebijakan itu, dirumuskan dari hasil permasalahan yang ia temukan di lapangan dan kemudian disimpulkan ke dalam lima poin. “Pertama faktor kunci transformasi ekonomi terletak pada kepemimpinan yang efektif, kapasitas SDM, serta tata kelola yang kuat yang mendukung inovasi dan daya saing tinggi. Kedua, terdapat ketidaksesuaian antara prodi yang berkembang di dunia pendidikan nasional dengan kebutuhan sektor industri di mana bidang studi non-STEM lebih dominan,” kata Menteri AHY.Permasalahan ketiga yang ia temukan adalah terdapat ketidakselarasan antara _output_ yang diproduksi oleh dunia pendidikan dengan prioritas penelitian nasional yang menunjang transformasi ekonomi, khususnya untuk meningkatkan pertumbuhan ekonomi dan daya saing global. Keempat, untuk keluar dari jebakan _middle income trap_, menurut Menteri AHY Indonesia perlu mengorkestrasi sektor prioritas ekonomi strategis baik dari industri primer, sekunder, maupun tersier.“Tentu dengan penguatan utama pada sub dimensi Research and Development (RnD) khususnya melalui peningkatan produktivitas _smart home appliances_. Dan kelima dibutuhkan kepemimpinan transformasional di semua lini untuk mengorkestrasi SDM melalui sektor pendidikan industri berbasis pada keunggulan dan potensi sumber daya lokal masyarakat kita,” lanjut Menteri AHY.Adapun ketujuh rekomendasi kebijakan untuk mengatasi hal tersebut antara lain dengan memastikan agar prodi perguruan tinggi di Indonesia selaras dengan kebutuhan industri. Kemudian, dengan meningkatkan partisipasi masyarakat dalam pendidikan tinggi hingga 60%; meningkatkan proporsi lulusan berbasis STEM yang fokus pada RnD hingga 40%; dan terakhir dengan meningkatkan belanja RnD dari 0,28% hingga 2% dari GDP.“Kita juga perlu melakukan evaluasi program beasiswa yang bersumber dari APBN agar selaras dengan industri strategis dan dapat memenuhi kebutuhan SDM menopang transformasi ekonomi. Selain itu, perlu menetapkan sektor prioritas strategis yang harus dikembangkan serta menciptakan kawasan percontohan untuk membangkitkan kekuatan ekonomi baru di sejumlah daerah, serta menyiapkan pemimpin yang transformasional yang visioner dan efektif dalam mengorkestrasi SDM yang bisa mengisi sektor prioritas strategis utama,” pungkas Menteri AHY.Untuk diketahui, Menteri AHY dinyatakan lulus dalam masa studi 3,1 tahun dengan predikat _Cumlaude_ alias Dengan Pujian. Ia juga menjadi Doktor ke-88 dari Program Studi Pengembangan Sumber Daya Manusia. Rektor Universitas Airlangga, Prof. Dr. Moh. Nasih, SE, MT, Ak. pun menyatakan Menteri AHY sebagai Doktor lulusan Universitas Airlangga yang _excellence with morality_.",Nasional
